name,year,numShows,isSubject
Reputante,2013,3,0
Lolawolf,2013,3,0
Jen Turner,2013,1,0
The Chain Gang of 1974,2013,1,0
Clementine & the Galaxy,2013,1,0
The Dodos,2015,1,0
JPNSGRLS,2015,1,0
Mini Mansions,2015,1,0
All Them Witches,2015,1,0
Mekaal Hasan Band,2015,1,0
Songhoy Blues,2015,1,0
The Parrots,2015,1,0
Alexz Johnson,2015,1,0
Courtney Barnett,2015,1,0
Sain Tanveer Brothers,2015,1,0
Hank West and the Smokin' Hots,2015,1,0
Baby In Vain,2015,1,0
Whitehorse,2015,1,0
Vockah Redu,2015,1,0
Quantic,2015,1,0
The California Honeydrops,2015,1,0
Sexores,2015,1,0
Cheerleader,2015,1,0
Noveller,2015,1,0
The Boxing Lesson,2015,1,0
Fatherson,2015,1,0
Dream Police,2015,1,0
Love Inks Austin,2015,1,0
Dead Leaf Echo,2015,1,0
Rocky-Nova,2015,1,0
Modestep,2015,1,0
Lydia,2015,1,0
Ball Park Music,2015,1,0
Luisa Sobral,2015,1,0
Mise En Scene,2015,1,0
La Orquesta Vulgar,2015,1,0
Cettina Donato & Serena Brancale Group,2015,1,0
Ceschi,2015,1,0
Dani Mari,2015,1,0
Pharmakon,2015,1,0
Panda Elliot,2015,1,0
The Sour Notes,2015,1,0
The Church,2015,1,0
Streetz-n-Young Deuces,2015,1,0
Danny B. Harvey,2015,1,0
Jonathan Toubin,2015,1,0
Lust for Youth,2015,1,0
Agoraphobia,2015,1,0
Twerps,2015,1,0
Mothercoat,2015,1,0
Jay Nash and Josh Day are the Contenders,2015,1,0
Sleep Over,2015,1,0
Agosto,2015,1,0
Que,2015,1,0
Wray,2015,1,0
The Dove & the Wolf,2015,1,0
Tourmaline,2015,1,0
Pia Zapata,2015,1,0
Haroon,2015,1,0
Heaters (MI),2015,1,0
Moon Duo,2015,1,0
Will Butler,2015,1,0
Ibeyi,2015,1,0
Wand,2015,1,0
Dry the River,2015,1,0
Lolawolf,2015,20,0
SORNE,2015,1,0
Dustin Kensrue,2015,1,0
Buenaparte,2015,1,0
Hickman-Dalton Gang,2015,1,0
Chihiro Yamazaki  + Route 14 band,2015,1,0
Charanjit Singh,2015,1,0
J*Davey,2015,1,0
Howie Lee,2015,1,0
Sleeperhold,2015,1,0
Alvvays,2015,1,0
The Twilight Sad,2015,1,0
Roger Clyne & The Peacemakers,2015,1,0
Summer Heart,2015,1,0
Lazyeyes,2015,1,0
Jared & The Mill,2015,1,0
Jitterbug Vipers,2015,1,0
Will Hanza,2015,1,0
Silk Rodeo,2015,1,0
Kydd,2015,1,0
Publicist UK,2015,1,0
Khumariyaan,2015,1,0
Black Milk,2015,1,0
Soft Lions,2015,1,0
Glen Hansard,2015,1,0
Jenn Grant,2015,1,0
Suboi,2015,1,0
The Great Void,2015,1,0
Mr.Kitty,2015,1,0
Blondage,2015,1,0
The East Cameron Folkcore,2015,1,0
Thee Oh Sees,2015,1,0
Babes,2015,1,0
Blacklist Royals,2015,1,0
Royal Teeth,2015,1,0
Luluc,2015,1,0
Diwan Saz,2015,1,0
Bonaparte,2015,1,0
Hinds,2015,1,0
Black Taxi,2015,1,0
Ocellot,2015,1,0
The Barberettes,2015,1,0
Twin Shadow,2015,15,0
Colin Gilmore,2015,1,0
Haioka,2015,1,0
SUM,2015,1,0
